RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,Restorative.Sleep..hours.,PPC,MPC,EB,OR,MS,LA,NES,OS,RSI,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,RSI_Level
63,78,49,60,6.78,6.21,10.3,92,12,2.87,4,1.87,1.29,3.05,0.58,1.42,58,16.8164,6.21,3.86,5,6,6,6,1,1,1.1,1,0.338,0,129.2083333,45.68224618,4.955304467,2376.948806,4961.18,1
55.2,94.9,71.6,77.4,8.138,7.243,9.803,88.7,14.8,0.622,6.8,2.374,1.584,3.281,0.918,1.218,74.9,16.44385,7.241,3.222,2,2.6,2.1,2.3,3,2.1,2.3,1,0.402,195,249.65,17.7717099,7.797463895,10422.92507,6887.01,2
67,73,12,90,9.27,7.81,8.67,84,17,0.95,7,1.65,1.5,4.65,1.47,0.42,55,19.2969,7.81,5.29,3,5,5,3,4,4,2,4,0.331,3273.1,841.1866667,172.4902359,4.67334298,16683.67886,6992.54,1
58,72,94,75,7.96,7.1,9.43,89,18,0,2,2.33,1.6,3.17,0.88,1.15,59.1,16.875,7.1,5.08,4,5,4,6,4,4,6,5,0.312,2565,715.0916667,169.4467516,4.248868345,9926.601923,6698.14,0
53,90,51,72,6.77,6.08,8.49,90,10,10.09,4,1.32,1.29,3.47,0.7,0.24,56,16.6992,6.68,6.17,3,3,2.7,2.4,3.6,3.6,2.4,3.5,0.321,336.3,205.2666667,10.21152626,8.042259611,7062.968501,2378.98,1
52.2,86.8,49.9,75.3,8.079,7.294,9.275,89,17.1,1.875,5,2.198,1.793,3.305,0.896,1.427,71.7,13.53149,7.297,3.698,4,4,4,4.1,5,5,5,5,0.367,1927,611.9,147.6471019,3.829407748,8455.641547,7379.73,2
56.1,87.7,66.5,78.5,7.914,7.129,9.19,89.5,13.6,1.97,5.7,2.384,1.388,3.254,0.873,1.109,71.3,16.08202,7.119,3.09,5,2,2,4,3,3,2,1,0.366,209.2,126.3583333,51.87544444,4.710596512,3228.934671,5658.68,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
52,100,95,88,7.49,6.67,7.6,89,8,14.02,5,2.27,1.2,3.2,0.83,0.81,45,16.0547,8.28,5.19,3.8,3.2,2.7,3,1.7,2,3.2,3.1,0.331,59,117.8166667,11.25228433,6.498009776,4647.485369,4558,1
53,45,38,41,4.99,4.24,10.28,85,12,0,4,1.28,0.99,1.97,0.76,1.88,70,14.0234,4.24,4.8,2.4,4,3.1,2,3.6,3.6,3.8,3.9,0.379,1789.8,657.8083333,73.20013952,8.053744244,17592.23094,7105.14,2
57,114,96,97,9.03,8.77,9.03,97,6,0,5,3.28,1.52,3.97,0.27,0.88,62.4,17.9883,8.77,3.65,4,3,3,3,2,2,5,3,0.337,0,102.0333333,53.39277139,5.796086897,3225.07777,6359,1
53,142,60,74,7.05,6.7,9.09,95,6.6,0,7,1.8,1.13,3.77,0.35,0.73,63,15.0293,6.7,3.93,2,4,3,2,4,3,2,3,0.379,2079.9,659.7333333,77.27603089,9.338464758,13740.68093,6661.14,2
64,61,45,100,9.64,8.85,8.61,92,14,2.88,8,3.13,2.06,3.65,0.8,0,74,17.8711,8.85,2.6,4,5,3.8,5,3,3,2,2.7,0.371,303,178.1,93.67777631,5.282730536,5358.318236,5981.41,2
49,100,88,58,6.5,6.1,10.42,94,6.9,8.67,4,2.69,1.09,2.31,0.41,2.07,67,14.0039,6.1,4.55,6,6,1,2,3,1.8,2,5,0.52,253.2,149.1916667,15.5458321,9.066491628,8046.900019,7595.49,3
60,146,73,100,10.21,9.36,8.6,92,19,1.43,7,1.13,1.06,7.17,0.85,0.1,83,17.168,9.36,4.61,4,3,3,3,3,4,5,4,0.369,3188.4,848.145,198.5313887,4.132480967,13947.62983,6603.87,2
57.8,81.6,66.6,73,8.002,7.151,9.865,89,17.2,0.621,6.9,2.624,1.45,2.885,0.893,1.289,58.5,16.29735,7.16,4.079,4,4,4,6,3,3,3,3,0.324,380.9,146.075,57.61243347,4.28566879,3200.51329,6570.46,1
56,123,92,97,7.66,7.19,7.44,94,8,6.75,7,2.77,1.14,3.28,0.48,1.08,32,15.7617,8.63,1.23,3,5,4,3,3,3,4,4,0.347,2425.8,669.325,87.37539887,7.647923907,14136.81022,6355.09,1
61,107,80,80,8.64,7.92,9.95,92,15,0,6,2.28,1.53,4.11,0.73,1.53,60,16.582,7.92,3.56,5,6,6,6,1,1.1,1.2,1,0.345,11.5,120.625,52.99747101,4.258873929,2865.74306,6084.95,1
55.2,94.9,71.6,77.4,8.138,7.243,9.803,88.7,14.8,0.622,6.8,2.374,1.584,3.281,0.918,1.218,74.9,16.44385,7.241,3.222,2,2.6,2.1,2.3,3,2.1,2.3,1,0.402,195,249.65,17.7717099,7.797463895,10422.92507,6887.01,2
55,146,93,100,9.67,8.67,7.7,90,22,6.23,7,2.15,1.08,5.44,1.01,0.49,59,19.0381,9.56,3.19,3,5,5,3,4,4,2,4,0.35,1497.6,721.3666667,191.8666909,3.65080919,5615.505767,6663.31,1
63,47,48,61,6.65,5.63,9.22,85,11,1.92,5,1.28,1.32,3.04,1.02,0.96,77.8,17.8125,5.63,4.8,4,5,4,6,4,4,6,5,0.385,2822.35,750.9616667,167.7721751,4.41822902,13239.8399,6135.24,2
50,88,48,62,7.01,6.35,10.22,91,11,10.59,4,2.14,1.6,2.61,0.67,1.37,55,16.7139,6.35,4.91,2.3,2.6,2,2.7,3,2.8,2.9,2.9,0.297,3048.2,845.0083333,75.84552826,10.95938632,29269.53166,6375.23,0
52.2,86.8,49.9,75.3,8.079,7.294,9.275,89,17.1,1.875,5,2.198,1.793,3.305,0.896,1.427,71.7,13.53149,7.297,3.698,4,4,4,4.1,5,5,5,5,0.367,1927,611.9,147.6471019,3.829407748,8455.641547,7379.73,2
56.1,87.7,66.5,78.5,7.914,7.129,9.19,89.5,13.6,1.97,5.7,2.384,1.388,3.254,0.873,1.109,71.3,16.08202,7.119,3.09,5,2,2,4,3,3,2,1,0.366,209.2,126.3583333,51.87544444,4.710596512,3228.934671,5658.68,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
51,107,97,100,9.58,8.47,8.04,88,16,0,6,2.93,1.62,3.91,1.13,0.59,46,15.7617,9.51,4.18,3.9,4.7,4.8,3.1,2,1.9,1.8,1.6,0.332,0,111.4583333,53.10724518,4.365257919,2997.292557,6476.2,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
55,114,89,100,9.22,8.63,8.15,94,16,0,8,3.49,1.42,3.72,0.6,0.15,71,18.1299,8.63,2.46,4,3,3,3,2,2,5,3,0.351,26.5,187.4416667,88.9937323,2.896338709,1018.586593,6165.27,1
51,135,57,95,10,8.74,9.16,87,19,12.05,6,3.1,1.66,3.97,1.27,1,54,15.1172,8.74,3.59,2,4,3,2,4,3,2,3,0.331,214.7,262.4,46.13007813,6.509237332,5378.649511,6496.23,1
58,97,96,93,8.83,7.93,8.51,90,19,0,5,2.84,1.96,3.13,0.91,0,67,17.8418,7.93,2.97,4,4.7,4.1,5,3,3,2,2.8,0.372,295.7,99,53.81848463,7.12988929,4660.655132,6406.33,2
51,70,64,52,6.04,5.56,10.65,92,7.3,13.46,4,1.1,1.45,3.01,0.48,2.07,75,14.6338,5.56,1.73,6,6,1,2,3,2.9,2,5,0.37,2036.6,644.8,67.70317879,9.210169783,20213.74039,7004.41,2
58,144,71,100,14.1,10.25,8.34,73,26,0,5,1.26,1.34,7.65,3.87,0,54,17.168,10.25,3.16,4,3,3,3,3,4,5,4,0.35,1803.5,691.3583333,188.4535162,3.778692505,8219.41293,6569.02,1
55,125,95,77,8.48,6.78,8.84,80,25,0,5,1.91,0.8,4.07,1.72,1.15,70.8,16.8335,6.78,3.81,4,4,4,6,3,3,3,3,0.404,256.4,143.5,54.57584394,4.496560483,4471.790252,6415.5,2
63,61,45,83,7.37,6.89,8.32,93,9,10.14,7,1.98,1.81,3.1,0.49,0.15,57,16.2891,6.89,2.8,3,5,4,3,3,3,4,4,0.325,307.1,204.2166667,15.07193646,6.684582969,4872.03876,4669.36,1
61,100,69,64,6.57,6.1,9.53,93,13,0,2,1.87,0.93,3.29,0.48,0.98,71,17.6953,6.1,2.9,5,6,6,6,1,1.3,1,1,0.4,0,158.4583333,53.92714412,5.069284429,4754.06554,5895.6,2
55.2,94.9,71.6,77.4,8.138,7.243,9.803,88.7,14.8,0.622,6.8,2.374,1.584,3.281,0.918,1.218,74.9,16.44385,7.241,3.222,2,2.6,2.1,2.3,3,2.1,2.3,1,0.402,195,249.65,17.7717099,7.797463895,10422.92507,6887.01,2
57,116,71,97,8.72,7.66,7.91,88,22,0,7,2.73,1.55,3.38,1.07,0,75,18.3643,7.66,1.91,3,5,5,3,4,4,2,4,0.376,3027.7,778.3416667,181.9489281,4.364423184,14188.91246,7122.03,2
66,49,58,72,7.61,6.89,9.59,91,14,0.95,5,2.52,2.03,2.34,0.73,1.49,57.6,17.5195,6.89,4.81,4,5,4,6,4,4,6,5,0.34,1643.8,686.3916667,175.5396104,3.89839293,7054.38453,6531.83,1
47,112,81,100,8.42,7.31,6.74,87,13,2.39,8,1.16,1.57,4.58,1.12,1.44,36,16.2891,10.11,2.84,3.4,3,2.8,3.3,2.7,2.1,3,3.7,0.344,187.7,162.9416667,55.88528655,5.760437609,3514.103888,6310.88,1
52.2,86.8,49.9,75.3,8.079,7.294,9.275,89,17.1,1.875,5,2.198,1.793,3.305,0.896,1.427,71.7,13.53149,7.297,3.698,4,4,4,4.1,5,5,5,5,0.367,1927,611.9,147.6471019,3.829407748,8455.641547,7379.73,2
56.1,87.7,66.5,78.5,7.914,7.129,9.19,89.5,13.6,1.97,5.7,2.384,1.388,3.254,0.873,1.109,71.3,16.08202,7.119,3.09,5,2,2,4,3,3,2,1,0.366,209.2,126.3583333,51.87544444,4.710596512,3228.934671,5658.68,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
48,113,95,83,7.87,6.81,8.17,87,13,14.44,6,2.44,1.48,2.89,1.07,0,53,15.9766,6.81,2.42,4.2,5.4,3.5,3.5,1.2,1.9,1.7,2.5,0.349,0,191.65,8.991920966,8.35518167,5651.908236,6422.97,1
57,47,59,55,6.93,5.7,10.36,82,22,2.4,4,1.85,1.77,2.08,1.24,2.26,77,14.1211,5.7,2.27,2.4,2.4,2,2.1,3.8,3.3,2.4,3.1,0.389,256.9,277.85,3.841706307,8.41319063,9227.589116,6459.61,2
64,69,44,100,8.47,8.3,7.72,98,4.5,0.98,5,2.8,1.38,4.11,0.18,0,78,18.9844,8.3,3.62,4,3,3,3,2,2,5,3,0.369,29,179.6,89.96639112,2.59657861,1257.647943,5185.83,2
56,115,44,92,8.55,7.69,8.38,90,20,4.33,5,1.61,0.89,5.19,0.88,0.25,63,15.4688,7.69,4.72,2,4,3,2,4,3,2,3,0.372,328.2,241.4,20.98884391,7.157768572,5300.921807,6196.5,2
62,72,66,100,8.76,8.1,8.07,92,19,0,7,2.36,1.29,4.45,0.67,0.27,65,18.2227,8.1,0.96,4,4.9,4.2,5,3,3,2.4,2.4,0.345,288.7,90.20833333,53.81848463,6.756642062,3659.540964,6331.31,1
53,56,48,64,6.55,6.11,9.59,93,5,3.35,3,2.3,1.94,1.87,0.45,1.84,83,14.2065,6.11,2.1,6,6,1,2,3,1.6,2,5,0.349,322.4,158.3,10.90110928,9.912314152,13288.41708,6958.95,1
54.2,80.1,68,81.3,8.019,7.128,8.938,89.1,14,2.301,6.4,2.575,1.463,3.012,0.893,0.861,56.5,14.96337,7.127,4.169,4,3,3,3,3,4,5,4,0.302,335.3,108.3583333,52.20719425,5.423253583,3055.483251,6526.09,0
64,61,53,66,6.48,5.12,7.72,79,26,0,6,2.33,1.09,1.7,1.37,1.14,50.5,17.5781,6.26,2.19,4,4,4,6,3,3,3,3,0.324,223.2,135.8416667,15.75123056,6.854200185,2907.261397,5581.87,1
67,56,32,85,6.33,5.92,6.96,94,9.2,0,4,0.89,1.46,3.58,0.41,0.66,53,16.6992,7.88,2.6,3,5,4,3,3,3,4,4,0.308,288,116.4,15.01899751,7.203297912,3846.981119,5653.54,0
62,95,64,76,6.26,5.71,7.53,91,14,0,6,1.71,1.19,2.81,0.56,1.37,39,17.5195,8.03,2.09,5,6,6,6,1,1.8,1.6,1,0.356,59,89.33333333,18.04230601,7.907740333,5100.372687,2739.34,1
55.2,94.9,71.6,77.4,8.138,7.243,9.803,88.7,14.8,0.622,6.8,2.374,1.584,3.281,0.918,1.218,74.9,16.44385,7.241,3.222,2,2.6,2.1,2.3,3,2.1,2.3,1,0.402,195,249.65,17.7717099,7.797463895,10422.92507,6887.01,2
56,127,73,95,8.51,7.68,8.11,90,14.5,17.32,4,1.68,1.49,4.51,0.84,0.15,82,18.5156,7.68,3.03,3,5,5,3,4,4,2,4,0.383,2971.3,806.405,175.164352,4.411624952,13742.98931,6738.13,2
71,27,19,77,7.87,7.11,9.18,90,8,11.55,4,2.26,2.35,2.5,0.76,1.07,90,17.6367,7.11,3.15,4,5,4,6,4,4,6,5,0.384,2785.85,758.7116667,152.319982,4.597735432,13698.35702,6727.73,2
51,112,73,62,6.06,5.51,8.86,91,10,7.23,3,1.08,1.1,3.33,0.56,0,48,16.2012,5.51,3.23,2.4,3.4,2.8,2.1,1.3,2,2.5,2.9,0.323,633.5,573.425,50.23329945,8.369694059,8313.343317,6067.92,1
52.2,86.8,49.9,75.3,8.079,7.294,9.275,89,17.1,1.875,5,2.198,1.793,3.305,0.896,1.427,71.7,13.53149,7.297,3.698,4,4,4,4.1,5,5,5,5,0.367,1927,611.9,147.6471019,3.829407748,8455.641547,7379.73,2
60,116,91,77,9.78,7.12,9.21,73,15,4.84,5,1.12,1.85,4.16,2.67,1.1,68.4,18.3105,7.12,4.28,5,2,2,4,3,3,2,1,0.395,282.5,147.75,55.90228219,4.887176012,3432.831889,6419.54,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
50,93,69,91,10.12,8.28,9.11,82,24,4.79,10,2.59,1.51,4.18,1.85,0.65,67,16.0547,8.28,3.17,3.2,3.7,3.2,3,3.6,2.9,2.6,3.6,0.376,295.7,127.7333333,48.99714586,5.647832279,3610.91918,6331.23,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
60,79,45,76,6.56,6.35,8.35,97,4.9,2.39,3,1.72,0.74,3.89,0.22,0,81,18.5669,6.35,2.31,4,3,3,3,2,2,5,3,0.359,95,168.2333333,45.41654863,6.214068462,6692.25671,3689.62,1
54,132,60,84,7.77,7.25,8.68,93,11.9,3.83,8,2.31,1.55,3.39,0.53,0.39,79,14.8242,7.25,3.16,2,4,3,2,4,3,2,3,0.381,380,256.4,13.05758312,8.557108291,11515.3813,6723.79,2
59.1,82.2,66.8,77,7.993,7.18,9.491,89,15.9,0.717,6.3,2.574,1.664,2.944,0.885,1.436,56.9,17.15527,7.181,3.874,4,4.8,4.1,5,3,3,2.7,2.3,0.315,278.4,155.7,56.79141985,5.06882821,3849.661876,6146.96,0
58,56,43,63,7.43,6.55,10.4,88,11,12.02,3,2.61,1.01,2.93,0.88,1.77,74,14.7656,6.55,3.47,6,6,1,2,3.3,2.8,2,5,0.38,1707.5,651.3666667,66.81654632,7.285329902,17228.41229,6333.37,2
65,120,59,70,7.14,6.1,8.77,85,13,5.75,5,1.22,0.87,4.01,1.05,0,37,16.875,6.1,4.55,4,3,3,3,3,4,5,4,0.345,313.3,142.275,48.4750896,5.193912872,3086.415658,5725.5,1
60,103,81,62,7.1,5.8,9.42,82,19,2.87,7,1.8,0.94,3.06,1.32,1.31,57.9,16.8164,5.8,3.92,4,4,4,6,3,3,3,3,0.321,275.5,164.375,54.96011934,5.020109407,3194.446343,5971.52,1
59.8,91.8,77,76.1,7.958,7.192,9.441,89.9,14.6,1.196,6.9,2.613,1.511,2.958,0.798,1.189,74.2,17.30347,7.189,3.546,3,5,4,3,3,3,4,4,0.373,327,153.825,57.61243347,5.159178751,5737.612801,6632.74,2
65,90,46,54,4.87,4.02,7.43,83,8,0,3,1.33,0.58,2.11,0.85,1.18,43,18.2227,5.87,4.1,5,6,6,6,1,1.2,1,1,0.394,0,141.275,59.50644196,5.520053572,3281.824003,5661.6,2
55.2,94.9,71.6,77.4,8.138,7.243,9.803,88.7,14.8,0.622,6.8,2.374,1.584,3.281,0.918,1.218,74.9,16.44385,7.241,3.222,2,2.6,2.1,2.3,3,2.1,2.3,1,0.402,195,249.65,17.7717099,7.797463895,10422.92507,6887.01,2
58.2,118.6,76.3,75.2,7.932,7.158,9.264,89.8,13,2.738,5.9,2.268,1.209,3.524,0.793,1.234,72.6,17.23437,7.153,2.852,3,5,5,3,4,4,2,4,0.381,2950.7,777.4333334,179.231984,4.497342864,13834.01461,6563.15,2
58,43,40,64,6.31,5.89,9.2,93,9,0,2,0.64,0.59,4.67,0.42,1.13,86,18.0469,5.89,2.76,4,5,4,6,4,4,6,5,0.38,808,696.3833333,176.9832108,3.628986057,5935.760695,6540.92,2
51,56,18,39,4.65,3.34,8.51,72,6,67.87,1,0.23,0.46,2.64,1.33,1.44,48,16.5234,5,2.71,2,2.4,2.8,2.3,1.3,2,2.6,1.8,0.356,0,240.35,4.336681054,9.881094534,9187.84617,6213.28,1
53,118.9,60.2,81.1,8.077,7.235,9.095,88.9,16,5.388,6.2,2.282,1.644,3.263,0.899,1.002,72.5,14.11352,7.228,3.377,5,4,4,4,4,4,4,4,0.359,1528.2,554.2583333,127.7401501,4.292638095,7555.079662,7102.03,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
52,75,50,100,13.11,9.49,8.48,72,30,8.64,5,1.43,1.33,6.74,3.63,0.44,32,15.9375,9.49,3.42,2.4,2.2,2.6,2.1,2.3,2.4,3.1,2,0.284,1525.7,660.9,79.64559756,7.383032141,9845.739816,6498.48,0
72,53,71,78,8.4,7.35,9.39,87,27,0,8,2.93,1.79,2.62,1.06,1.72,51.7,15.9082,7.35,2.74,2.6,2.5,2.2,3.4,3.1,2.6,3,3.5,0.284,190.2,170.475,45.76849865,5.907446557,3233.727017,6453.16,0
52.5,107.4,76.8,76.4,7.942,7.179,9.452,89.8,14.4,1.39,5.9,2.506,1.556,3.098,0.793,1.213,63.9,15.4668,7.182,3.324,4,4,4,5,2,2,2,3,0.351,0,162.125,55.98554376,4.833183318,3197.894066,6831.05,1
59,103,40,100,10.09,9.19,8.47,91,17,0,10,3.71,1.58,3.91,0.92,0.61,56,15.5713,9.19,2.59,3,3,2,2,4,2,4,4,0.345,267,120.8833333,16.24941279,8.076044838,5898.54518,5711.42,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53,46,35,72,8.32,7.29,10.09,88,11,10.59,5,2.75,2.4,2.14,1.04,1.82,81,14.4824,7.29,2.82,5,3,3,4,5,4,2,4,0.36,2524.45,600.3283333,138.1519917,4.495987395,11848.26626,7460.34,2
53.5,116.4,53.7,73.9,7.647,6.782,9.519,87.7,14,6.4,5.2,1.939,1.479,3.509,0.983,0.959,75.7,15.83155,6.779,3.802,2,4,2,1,6,4,5,6,0.391,1952.7,606.5833333,73.26948508,8.479945903,17050.29751,7082.47,2
61,110,90,85,9.48,7.8,9.21,82,27,0,4,1.47,1.12,5.21,1.69,1.46,66,17.9297,7.8,3.91,3,3,3,3,3,3,3,3,0.382,443.8,252.65,78.82002222,5.334940898,5243.562429,6886.45,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
66,91,60,85,10.32,8.45,9.97,82,15,0,6,3.26,1.55,3.63,1.88,1.76,36,17.9297,8.45,3.79,5,6,5,3,3,3,2,2,0.335,181.1,145.375,54.73413489,5.471561732,4555.26198,6457.55,1
56.6,90,60.1,72.4,7.811,6.988,9.372,89.1,14.8,1.637,5.8,2.611,1.557,2.844,0.86,1.44,70.6,16.89795,6.984,3.704,3,3.6,2.8,2.4,6,4.5,2.8,3.3,0.375,2816.9,750.165,173.9504964,4.301520361,12632.49497,6579.78,2
61.7,82.4,61.6,74.6,7.917,7.156,9.279,89.8,12.7,3.757,6,2.196,1.445,3.436,0.79,1.379,76.7,16.72632,7.153,4.374,6,6,5,3,4,4,1,3,0.37,3255.8,807.8483334,185.0279395,4.248128303,14710.50282,6948.23,2
61.7,63.4,53.6,71.8,7.911,7.193,9.897,89.6,15.4,1.771,5.9,2.489,1.59,3.052,0.794,1.356,72.6,16.07812,7.188,4.045,6,6,6,5,5,3,2,4,0.383,416,142.1,51.26071895,4.587783803,3398.331057,6906.32,2
53,61,33,50,5.96,5.54,11.17,93,7.9,13.51,3,0.8,1.26,3.47,0.43,2.32,57,17.334,5.54,2.35,3,4,6,2,4,1,3.4,4,0.322,2459.3,816.75,69.97602119,11.0634357,30867.3164,6126.29,1
43.6,120,64.9,94.4,8.281,7.44,7.306,89.2,15.2,3.467,5.2,2.246,1.778,3.414,0.899,0.219,49,12.49845,7.828,3.783,5,4,4,4,4,4,4,4,0.28,1040,520,289.9137803,1.793636713,1865.382182,7151.8,0
53.5,61.8,63.1,76.5,8.082,7.198,9.016,89,14.6,0.91,6.3,2.283,1.819,2.943,0.902,1.002,75,15.19581,7.194,4.122,3.5,3.7,3.1,2.9,4.1,3.2,3.6,4,0.426,525,525,126.2813718,3.802211425,5052.494082,8170.5,3
59.2,74.7,62.6,78.5,8.166,7.273,9.465,89,13.1,0.767,6.2,2.177,1.745,3.433,0.924,1.262,73.7,16.40819,7.271,3.873,2.2,2.4,1.2,1.8,3.9,4.2,5.5,4.5,0.38,630,630,70.85555039,7.035896716,9132.321964,6414.5,2
44,95,77,100,9.61,7.04,6.25,73,15,9.61,3,1.04,1.1,4.9,2.58,0,25,15.0586,8.5,1.73,3,3.6,3.4,3,2.7,2.5,3,2,0.35,1928,964,175.3624817,5.497184976,10598.57263,6011.4,1
56,64,73,36,3.7,3.21,8.81,87,11,0,2,0.8,0.62,1.79,0.5,1.08,43,14.4141,3.21,4.15,2.3,4,2.7,1.8,3.5,2.9,2.6,3.2,0.528,525,525,43.93075198,7.384434097,6855.307024,8198.6,3
55,133,94,84,7.54,7.22,8.63,96,6.7,0,4,1.88,0.7,4.65,0.33,0.96,63,17.9541,7.22,4.11,4,4,4,5,2,2,2,3,0.344,1184,592,94.75230868,6.247868873,7397.476745,6706.4,1
49,145,75,75,6.16,5.77,7.71,94,5,5.77,5,2.07,1.11,2.59,0.39,0,62,15.542,5.77,4.14,3,3,2,2,4,2,4,4,0.46,1200,600,254.5584412,2.357022604,2828.427125,6000,3
61,92,73,90,7.89,7.5,8.33,95,11,0,4,3.14,1.81,2.55,0.39,0.31,82,18.9697,7.5,4.57,4.1,5.2,4.3,3.5,1.9,2,1.6,1.8,0.379,0,107.4916667,61.12578087,5.935340339,5412.795986,7129.1,2
60,55,35,37,3.92,3.48,9.41,89,4,11.55,4,1.09,0.64,1.75,0.44,1.38,75,15.8203,3.48,4.38,5,3,3,4,5,4,2,4,0.61,1547,773.5,351.4320702,2.200994347,3404.938255,8175.9,3
51.3,127,64.9,83.5,7.681,6.813,6.729,87.5,15.4,7.279,5.6,2.272,1.54,2.99,1.021,0.807,46.6,14.19019,7.779,3.666,2,4,2,1,6,4,5,6,0.316,645,322.5,286.3782464,1.126133022,726.3557991,6366.4,0
54.6,74.6,61.3,74.3,8.02,7.18,9.071,88.9,14.5,0.43,6.2,2.523,1.663,2.985,0.89,1.164,65.5,16.66357,7.188,3.963,3,3,3,3,3,3,3,3,0.36,1200,600,254.5584412,2.357022604,2828.427125,7447.3,2
54.3,114,70.1,84.8,8.085,7.225,8.443,89.1,14.9,0.575,6.3,2.329,1.415,3.449,0.907,0.241,60.1,16.39234,7.214,2.8,3.7,3.7,3.1,3.3,2,2.5,3.4,3,0.351,0,100.75,43.71959786,5.698996736,2808.553879,2007.7,1
67,75,36,50,4.29,3.87,7.78,90,8,0,3,1.43,1.11,1.33,0.43,0.74,33,17.2852,4.66,2.77,5,6,5,3,3,3,2,2,0.43,1733,866.5,482.9539316,1.794166987,3109.291388,5720.5,3
59.5,81.2,68.4,72.5,7.836,6.984,9.693,89.1,13.8,1.004,6.4,2.544,1.567,2.941,0.864,1.48,59,17.19165,6.982,3.703,2.6,2.7,1.4,2.1,6,2.8,5.6,5.1,0.315,2073,1036.5,426.3853891,2.430899432,5039.254522,6209.1,0
56,76.3,65.3,70,7.954,7.18,10.051,90,14.1,0.143,5.9,2.177,1.597,3.462,0.795,1.668,64.7,16.33619,7.181,3.749,6,6,5,3,4,4,1,3,0.41,1773,886.5,362.7457787,2.443860279,4332.964274,6919.5,3
57.6,90.5,74.7,71.1,8.078,7.364,9.883,90,15.3,1.591,6.2,2.686,1.828,2.613,0.817,1.671,67.1,15.59813,7.369,4.201,6,6,6,5,5,3,2,4,0.4,816,816,256.6269721,2.829534881,4166.387538,5665.9,2
54,129,84,51,5.88,5.22,10.18,89,11,2.87,4,1.37,1.12,2.73,0.67,1.9,71,17.3438,5.22,3.39,3,4,6,2,4,1,4.2,4,0.38,2365,1182.5,335.8757211,3.520647447,8326.331213,6278.2,2
53,118.9,60.2,81.1,8.077,7.235,9.095,88.9,16,5.388,6.2,2.282,1.644,3.263,0.899,1.002,72.5,14.11352,7.228,3.377,5,4,4,4,4,4,4,4,0.359,1528.2,554.2583333,127.7401501,4.292638095,7555.079662,7102.03,1
